100th NRA 60,8201
60th NRA 60,8202
60th NRA 65,8203
75th NRA 60,8204
90th NRA 60,8205
BASS 60 NRD,8206
BASS 65 NRD,8207
Millenium,8208
Opt Out,8209
PRE07 LEG60,8210
PRE07 LEG65,8211
*,Undefined
