SourceTable,SourceColumn,TargetTable,TargetColumn
PEOPLE_MEMBERS_EXITRETIREMENT,BCAT,UPMFOLDER,SCHEMEID
PEOPLE_MEMBERS_EXITRETIREMENT,COMP,UPMFOLDER,COMPANYID
PEOPLE_MEMBERS_EXITRETIREMENT,DCSTA,UPMFOLDER,CODATE
PEOPLE_MEMBERS_EXITRETIREMENT,DJC,UPMFOLDER,DATEJOINEDCOMP
PEOPLE_MEMBERS_EXITRETIREMENT,SSTA,UPMFOLDER,FOLDERSTATUSFG
PEOPLE_MEMBERS_EXITRETIREMENT,TARGDAT,UPMFOLDER,TARGETRETDATE
PEOPLE_MEMBERS_EXITRETIREMENT,MEMNO,UPMFOLDER,MEMBERS_MEMNO
PEOPLE_MEMBERS_EXITRETIREMENT,ID,UPMFOLDER,PEOPLE_ID
