SourceTable,SourceColumn,TargetTable,TargetColumn
MEMBERS,BCAT,UPMFOLDER,SCHEMEID
MEMBERS,COMP,UPMFOLDER,COMPANYID
MEMBERS,DCSTA,UPMFOLDER,CODATE
MEMBERS,DJC,UPMFOLDER,DATEJOINEDCOMP
MEMBERS,FOLDERSTATUSFG,UPMFOLDER,FOLDERSTATUSFG
MEMBERS,TARGDAT,UPMFOLDER,TARGETRETDATE
MEMBERS,MEMNO,UPMFOLDER,MEMBERS_MEMNO
